stop_id,stop_name,stop_lat,stop_lon
"13626","Lakeside Bvd/Princes Hwy (Pakenham)","-38.062348209191","145.4567089534"
"13761","Hudson Park/Sydney St (Kilmore)","-37.2949521712989","144.951707614532"
"13762","Hudson Park/Sydney St (Kilmore)","-37.2957068794249","144.952093254788"
"13763","High St/Main Rd (Lancefield)","-37.2781181180929","144.736606717502"
"13764","High St/Main Rd (Lancefield)","-37.2780499434397","144.736811760623"
"13765","Romsey Community Hub/Main St (Romsey)","-37.3500899679552","144.742811606745"
"13766","Romsey Community Hub/Main St (Romsey)","-37.3501212960254","144.743036440869"
"14005","Bloomfield Rd/Queen St (Nilma)","-38.1703476692798","145.967874626346"
"15096","Jennings St/Northern Hwy (Heathcote)","-36.927405979295","144.71185195711"
"15107","Echuca Coach Terminal/Heygarth St (Echuca)","-36.1240852196468","144.751933212652"
"15109","Murray River Council/Cobb Hwy (Moama (NSW))","-36.1142846584288","144.756111907767"
"15113","Thompson St/Main St (Koondrook)","-35.6435727591925","144.131196495987"
"15114","King Albert Ave/Leitchville Rd (Leitchville)","-35.9036371449297","144.301115308436"
"15115","Newsagent/Murray Valley Hwy (Gunbower)","-35.9562893869437","144.368796833151"
"15116","Newsagent/Murray Valley Hwy (Gunbower)","-35.9559829236865","144.368795918636"
"15117","General Store/Murray Valley Hwy (Torrumbarry)","-36.0289328143839","144.516565858211"
"15122","Transit Centre/Union St (Kyabram)","-36.3143755526964","145.047681751927"
"15123","Mill St/McLennan St (Mooroopna)","-36.394078046933","145.361331509799"
"15124","Mill St/Midland Hwy (Mooroopna)","-36.3945712401502","145.361142757613"
"15126","Shepparton Railway Station (Shepparton)","-36.3840481928267","145.406180081126"
"15127","Fraser St/Wyndham St (Shepparton)","-36.3798388541286","145.399465844225"
"15128","Fraser St/Wyndham St (Shepparton)","-36.3796441777951","145.399737380476"
"15130","Barmah Hotel/Maloney St (Barmah)","-36.0172521572524","144.957807310496"
"15137","Milk Bar/Station St (Girgarre)","-36.397074779389","144.980858109513"
